date,geocodigo,epiweek,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressao_min,pressao_med,pressao_max,umid_min,umid_med,umid_max
2015-07-09,1302603,201527,23.2717,26.0978,29.6014,0.6377,1.4195,2.6134,11.356,0.9886,0.9917,0.9935,70.8135,86.1356,97.1087
2015-07-10,1302603,201527,24.1637,26.8268,29.3954,0.0635,0.4653,1.7906,3.7228,0.9891,0.9914,0.993,70.0786,81.8159,91.6519
2015-07-11,1302603,201527,23.921,26.8152,29.9776,0.0001,0.2164,0.6557,1.7309,0.9904,0.992,0.9937,61.2454,78.8111,91.1086
2015-07-12,1302603,201528,23.2377,26.6489,30.0593,0.002,0.1729,0.5439,1.3833,0.9893,0.9921,0.9936,64.9532,80.5413,94.9341
2015-07-13,1302603,201528,23.6002,26.759,29.7744,0.0017,0.1799,0.6105,1.439,0.9885,0.9913,0.9932,64.5157,79.1738,90.1546
2015-07-14,1302603,201528,23.5009,26.6251,30.4096,0.0326,0.2153,0.6105,1.7227,0.9899,0.9913,0.993,64.1574,82.9866,96.7751
2015-07-15,1302603,201528,23.1388,26.6472,30.0985,0.0043,0.1819,0.5959,1.4554,0.9892,0.9916,0.9934,66.3904,80.6233,94.3981
2015-07-16,1302603,201528,24.7421,26.9557,30.13,0.043,0.8528,4.3461,6.8223,0.9894,0.9917,0.9935,67.3541,84.2001,94.4772
2015-07-17,1302603,201528,23.8894,26.2148,29.7713,0.0647,0.8111,4.3679,6.4887,0.9899,0.9924,0.9944,68.4362,86.3329,96.6308
2015-07-18,1302603,201528,23.7467,26.3557,29.973,0.1341,0.4788,1.1263,3.8306,0.9899,0.9922,0.9937,65.5894,83.4163,94.8517
2015-07-19,1302603,201529,23.905,26.2272,29.4986,0.0679,1.5737,7.4032,12.5894,0.9903,0.992,0.9936,68.9693,84.0003,93.8287
2015-07-20,1302603,201529,23.2457,25.8983,29.8769,0.3041,1.6816,7.9325,13.4527,0.9899,0.9921,0.9937,67.3838,86.648,97.6953
2015-07-21,1302603,201529,23.8031,25.8331,28.8554,0.1617,3.2042,6.9625,25.6334,0.9893,0.9922,0.9941,75.8743,87.9367,97.2075
2015-07-22,1302603,201529,23.7147,25.6516,28.7753,0.0854,2.5167,7.8429,20.1339,0.9905,0.9924,0.9942,75.3124,88.1628,94.4133
2015-07-23,1302603,201529,23.085,25.7528,29.7659,0.0007,1.5579,8.9203,12.4628,0.9909,0.9929,0.9946,69.449,87.4771,98.1124
2015-07-24,1302603,201529,22.952,25.8623,29.5969,0.0597,2.5424,4.252,20.339,0.9902,0.9935,0.9956,69.9406,85.8585,96.3012
2015-07-25,1302603,201529,23.6024,25.8727,29.2041,1.1489,2.7947,4.8953,22.3575,0.9907,0.9932,0.9953,71.1159,86.6103,94.6984
2015-07-26,1302603,201530,23.0842,25.5262,29.4297,0.1586,1.3428,5.3227,10.7422,0.9898,0.9924,0.9943,73.8409,88.2939,97.5148
2015-07-27,1302603,201530,23.2296,25.8082,29.0098,0.0288,0.8676,4.0436,6.9412,0.9887,0.9916,0.9935,71.6497,86.5976,97.4113
2015-07-28,1302603,201530,23.6758,26.3484,29.4502,0.0195,0.4609,1.448,3.6875,0.9883,0.9909,0.9925,69.4644,84.7289,96.0221
2015-07-29,1302603,201530,23.7375,26.851,31.131,0.0,0.2077,1.1516,1.6613,0.9892,0.9912,0.9929,59.4599,81.4716,95.3205
2015-07-30,1302603,201530,23.4784,27.1135,31.7675,0.0,0.2368,1.5228,1.8947,0.9897,0.9915,0.9931,59.5806,79.796,93.7246
2015-07-31,1302603,201530,24.3376,26.4123,29.4262,0.0026,1.7021,4.641,13.6166,0.9893,0.9918,0.9936,71.8702,85.285,92.5699
2015-08-01,1302603,201530,23.554,26.6727,30.8211,0.0,0.7144,4.6504,5.7156,0.9884,0.9912,0.9931,63.6481,83.6654,96.2517
2015-08-02,1302603,201531,24.3377,27.1101,30.9056,0.0235,0.237,0.8072,1.8956,0.9878,0.9904,0.9925,62.4149,81.8962,94.1028
2015-08-03,1302603,201531,24.1409,27.4612,31.1835,0.0,0.1379,0.5846,1.1033,0.9886,0.9905,0.9924,57.5048,78.7764,93.4622
2015-08-04,1302603,201531,24.0866,27.5372,31.3609,0.0,0.082,0.3224,0.6556,0.9895,0.9916,0.9936,53.797,75.6431,90.5292
2015-08-05,1302603,201531,24.5445,27.6167,31.8258,0.0,0.0467,0.2301,0.3734,0.9887,0.9913,0.993,59.3462,75.2691,87.2796
2015-08-06,1302603,201531,24.8284,27.7333,31.7542,0.0004,0.0818,0.3942,0.6544,0.9871,0.9905,0.9927,56.164,77.7779,93.6983
2015-08-07,1302603,201531,24.2447,27.9881,32.6894,0.0,0.0246,0.1969,0.197,0.9876,0.9896,0.9911,45.3419,71.4838,88.6912
2015-08-08,1302603,201531,24.3047,27.9997,32.4801,0.0,0.0039,0.0105,0.0309,0.9882,0.9898,0.9912,45.9355,67.306,84.0523
