year,S_H,E_H,I_H,R_H,S_M,E_M,I_M
2022.615331964408,6093.573641117135,3899.952170658845,123.67585127070095,3126.24723426892,523.0299452837193,12.612898363267744,11.23993170070279
2022.618069815195,6100.705160786754,3899.493422933972,123.93480521160943,3119.7434083832627,470.71893165733115,11.54170299682518,10.289955203015325
2022.6208076659823,6107.569233637416,3898.8158830643697,124.65787501082146,3113.2617056029917,423.63743105734153,10.684697773198542,9.604030587673176
2022.6235455167694,6114.138951029061,3897.862788638879,125.92108110988875,3106.8097765377684,381.261654233931,10.010415304730369,9.249950074949739
2022.6262833675564,6120.610061757607,3896.7875985322476,127.3662393529383,3100.396597672807,343.12936787516304,9.369386979667661,8.973101348282851
2022.6290212183435,6126.747205297924,3895.4823133489467,129.33388057981486,3094.0249980889134,308.80425753255315,8.82981743470027,8.871395999592496
2022.6317590691308,6132.715881591575,3894.012596225695,131.58411187960024,3087.703707618734,277.91983293272216,8.307661461172499,8.794579981841883
2022.6344969199179,6139.829390495125,3893.075302555304,132.10219069333607,3081.4373135718374,473.6013839787335,7.518881142986221,8.073751875917656
2022.637234770705,6148.044195672069,3892.660640198147,130.97054023530438,3075.196721210084,527.665654856479,6.924406722989303,7.2663712543746835
2022.6399726214922,6155.734683495894,3891.8014890955674,130.80945719959038,3068.954367524552,474.9052068222026,7.245468606176522,6.5445783823609815
2022.6427104722793,6163.273345075144,3890.773349942205,130.95478379325834,3062.726418504996,427.4137986896671,7.667563933333654,5.9934154281490155
2022.6454483230664,6171.5340246710175,3890.3396835741305,129.7641231884164,3056.51796588204,715.7918951146756,7.07036327427786,5.394071439856149
2022.6481861738534,6179.589411834922,3889.724621295974,128.96298442655976,3050.3066797581446,644.2163262283676,7.833382013061095,4.854657657833372
2022.6509240246407,6187.674873489709,3889.081014733458,128.15665221192882,3044.0990568805096,612.5490328938281,8.333092086423049,4.3691720321529255
2022.6536618754278,6195.807149526954,3888.4062422229363,127.33110403632494,3037.895001529391,551.2930546324183,8.676330535236216,3.9322257331825825
2022.6563997262149,6204.1841424173435,3887.9416333389504,126.04743513714567,3031.694186422165,825.9659311731464,8.253593803497015,3.539001649516678
2022.659137577002,6212.4789893958,3887.297994251636,125.02934788935181,3025.4889657788176,743.3709557122344,8.797941850581925,3.2762648166268242
2022.6618754277893,6220.4919544461745,3886.2120090414924,124.73545645208259,3019.283777375859,669.0331908621071,10.108745844076184,3.397274434709743
2022.6646132785763,6228.28495818253,3885.096564972826,124.6788873151195,3013.0906868451316,602.1271347375562,11.415989898431386,3.514852275903331
