year,S_H,E_H,I_H,R_H,S_M,E_M,I_M
2017.2929500342232,3477.636014896726,1107.9027801794762,962.8339718464737,3060.137451368802,13979.933952105966,107.86494515702732,80.90057830096251
2017.2956878850102,3486.425388584131,1107.9027801794762,946.5110240694412,3068.0989254584297,12410.56879063857,95.75619566419601,71.81880632170221
2017.2984257357973,3495.250614728015,1107.9027781161124,930.6317198727241,3075.5809055746267,11107.100562809743,85.69933173965997,64.27578425195047
2017.3011635865846,3498.7622694358206,1105.9863474420958,922.380116214356,3082.6651851992074,9996.39049903056,291.7554456460165,79.6543891253279
2017.3039014373717,3504.0469577557187,1104.7694060655585,911.8128980476226,3089.59255642258,8996.732107701328,349.16998568761824,80.62963765385415
2017.3066392881587,3507.955287388284,1102.0877922434017,904.2818135088338,3096.3248251509604,8097.046479231596,416.85860291947756,87.81191466643568
2017.3093771389458,3512.8525602445266,1100.6085419784877,894.7033819702925,3102.913134098172,7287.324894409596,410.4151426411153,107.6472875368027
2017.3121149897331,3512.810071498953,1099.8548655063282,889.5168470382716,3109.3237342479247,6558.588307773774,395.26642426072385,193.2891305281291
2017.3148528405202,3511.49081412006,1104.528376917123,880.2838933544432,3115.630333899852,5902.719646387968,361.7702265028521,219.34847736100784
2017.3175906913073,3508.7204362407097,1111.1677895697073,870.7010143065894,3121.7720781744747,5310.02609642251,331.54975007242274,234.94149996380176
2017.3203285420946,3486.3729105781335,1131.1631118296866,867.5222230000699,3127.730972883593,4779.0280918531,340.44944963228414,309.6869082888914
2017.3230663928816,3495.3699290663667,1131.1631167140024,853.0635216522588,3133.620550858855,36354.791409659425,306.4045190189649,278.718261865688
2017.3258042436687,3504.3830908198297,1131.1631167140024,838.8457958476749,3139.2530149099753,32719.32381626845,275.7640608483813,250.84642997686768
2017.3285420944558,3513.408031100234,1131.1631371130336,824.809407219257,3144.6923428589553,29362.03658798243,247.4691035848711,225.107438795786
2017.331279945243,3507.413640764943,1140.86556730476,816.3980391240565,3149.823571097723,26425.83259864009,633.3474677650623,222.9036469945197
2017.3340177960301,3515.2011536799264,1141.6559684971476,803.2710182014516,3154.8005779129567,23783.198990853336,570.0475380989217,200.6143976834126
2017.3367556468172,3524.1827679420057,1141.7040371215116,789.9145172850402,3159.5552959429247,21393.330490682187,512.7661565967456,180.45555143085886
2017.3394934976043,3533.258967052024,1141.7066243841903,776.7124521733382,3164.1064746819325,19211.143739451192,460.46442443350594,162.04860472424537
2017.3422313483916,3532.004299225074,1138.9574760837636,776.8677431347704,3168.3828998478784,17290.027026737793,634.7546577084391,156.35578416264687
2017.3449691991786,3527.267180175869,1132.8141388917736,783.908800441493,3172.6501987823526,15560.933592762505,835.4946413351677,163.82683675568566
2017.3477070499657,3526.2948230032716,1126.2745447804498,787.4757107639822,3177.0231397437856,14004.81832575008,832.6082030617979,217.3594427446468
2017.350444900753,3530.0665314015005,1124.4522887307053,781.5337413000511,3181.443556859233,12604.319845059428,749.3482718800418,227.57279667102105
2017.35318275154,3529.035204528034,1122.8897433980728,780.2461562692413,3185.752914096143,11343.788819054276,677.0630220077232,266.1658895601969
2017.3559206023272,3522.590007670973,1124.6216525517875,781.1113210345735,3190.0289370341557,10209.370115701135,625.7686999693614,311.18495507052836
2017.3586584531142,3510.606745083044,1130.588465734267,783.2769675858456,3194.307639888333,9187.851853810364,586.6851433986881,352.0652950160706
2017.3613963039015,3501.582463615746,1137.8407456642447,781.1737879129222,3198.610721098577,8269.036759821614,535.9560135684283,356.2313507260177
2017.3641341546886,3489.8301972457493,1147.5246361456022,779.4138034586731,3202.866981441466,7442.105122308327,495.3246217360442,360.3235882788311
