year,I_H_no_intervention,I_H_with_intervention,E_H_no_intervention,E_H_with_intervention,R_H_no_intervention,R_H_with_intervention,S_H_no_intervention,S_H_with_intervention,S_M_no_intervention,S_M_with_intervention,E_M_no_intervention,E_M_with_intervention,I_M_no_intervention,I_M_with_intervention,difference,reduction_percent
2019.19575633128,1357.819286316624,1322.4463530164603,649.8780275818575,1525.3670764971523,7462.460418659488,7179.002517617788,1094.1200608014203,1254.7204515856472,11525.015663816828,11762.88824113573,840.5055705354458,655.2052964234758,637.5376326568131,594.6218402642455,35.372933300163595,2.6051282123205266
2019.1984941820672,1408.7051669312975,1357.630577551273,614.7043663030752,1499.5614277870734,7464.645658941117,7181.374795783307,1076.6505011838935,1243.397497595392,10372.502499582455,10586.595968990676,1447.3955670407993,1128.8419234727469,650.6274272293257,592.9559353024686,51.07458938002446,3.62564080681869
2019.2012320328545,1424.670500799272,1366.0517360284011,595.0764974835738,1484.4872430531518,7467.672631216536,7184.32689713554,1077.7139638600004,1247.5263224999503,9335.202545311382,9527.921057529496,1572.8001105691385,1223.590971286163,597.6502111216873,539.3148378713657,58.61876477087094,4.114548924680093
2019.203969883641,1407.9806793354137,1348.9160886385332,591.3393291642722,1481.510898174824,7470.957748921739,7187.411288293912,1095.2837359379569,1264.9818236097756,8401.676830733544,8575.088621725321,1415.522582133527,1101.2657878647874,537.8850962799158,485.38188044906633,59.06459069688049,4.194985880399991
2019.2067077344284,1451.938320800841,1380.7127355977084,555.4698799747154,1452.410764432927,7473.955773322123,7190.20169674531,1084.6254192617037,1259.9228019411,7561.490572624445,7717.57605997824,1729.6697538413414,1340.5179813190955,539.863327265464,477.1296951771193,71.2255852031326,4.905551715436984
2019.209445585216,1495.412750222442,1412.5068931399828,522.4976521582443,1424.8738408329566,7477.676533318186,7193.51401294426,1070.8303576605106,1252.7811517998432,6805.153525764786,6945.75606596415,2008.0844764247408,1549.2994491993577,543.4238032816447,471.171439029776,82.90585708245908,5.544011649634983
2019.2121834360028,1532.9069696740096,1439.9279255754232,494.4071004155036,1400.57760791448,7482.105074605333,7197.333032839587,1057.4260486645387,1246.2652323875534,6123.76794540977,6249.031083920614,2194.146621985678,1685.5511931747528,543.8901562216407,464.906992474821,92.97904409858643,6.065537305134669
2019.2149212867896,1558.087138718442,1457.5777247900385,473.779762495046,1382.1281223118117,7487.1543529115825,7201.612993030898,1048.251839234312,1243.2128585842945,5511.362998367428,5624.110165254881,2169.8852314895908,1657.5997854262305,614.4999736024973,514.7286843424628,100.50941392840355,6.450821101769351
2019.217659137577,1543.7958992485665,1442.880133472797,470.6905224748565,1379.0570198054477,7492.60964410299,7206.175478067278,1060.604927532968,1256.84696737152,5261.295061506645,5785.768762014531,1952.9027813118269,1491.84087510924,555.5474290156513,464.55192017817166,100.91576577576939,6.536859297585227
2019.220396988364,1530.4159020720367,1428.958418193041,467.4329547009754,1375.819270169749,7497.811901164485,7210.48057803178,1072.4681354218862,1270.129232322471,4735.163393383705,5207.2053264957,1757.6197105359429,1342.6574986395517,524.569340492108,435.5591561248504,101.45748387899562,6.629406015817785
2019.2231348391515,1543.983122887612,1437.109010071903,458.3983809080277,1366.434324852171,7502.776916000415,7214.541850049922,1063.3983735633292,1267.7302137430418,4261.639614245408,4686.475375587098,1655.7781185929246,1280.4747027385504,642.4578058102129,521.8327537010748,106.87411281570894,6.921974160949971
2019.2258726899383,1557.5493308940054,1445.0333790343248,457.3987754695957,1362.971000218375,7507.950995675723,7218.7272712995555,1046.0855913200603,1259.5116481647822,3834.7138041624194,4217.607589263806,1563.835285682521,1222.0200105890829,731.4001616447373,585.9045785155606,112.51595185968063,7.223909357342698
2019.2286105407256,1555.0977824806591,1439.792854560172,460.6423824181211,1363.8462032615,7513.340327374901,7223.033681246864,1040.3321010857044,1259.9984596485024,3451.223273950991,3795.79057152391,1413.5474766103855,1110.537569211108,717.5184297897862,571.494746200701,115.30492792048722,7.414641652729722
2019.2313483915127,1553.1700720108806,1434.920219507509,465.6866081769235,1366.1213089740615,7518.674170695598,7227.241269382869,1032.3096424759815,1258.8163008525985,3106.072684393537,3416.137510256528,1283.7344433592564,1014.3585121548232,709.7442372264073,561.7307632979256,118.24985250337159,7.6134516518383695
2019.2340862423,1562.668803292803,1438.9608807096447,474.442143732492,1370.7020220244938,7523.961238377824,7231.355965070662,1009.196207956263,1246.508130912238,2795.4601492811157,3074.515691138516,1203.0038872941186,958.9595391283376,757.1374308601011,593.51507646791,123.70792258315828,7.91645179851835
2019.2368240930869,1570.3931358331058,1441.2969271281822,484.8729487329388,1377.04632108285,7529.391906813191,7235.525840144936,986.0383019801484,1234.0858103610672,2516.9229269319567,2766.647300726082,1117.378140170635,897.2397244017156,776.9432563456168,604.7149427456283,129.09620870492358,8.22062996578478
2019.2395619438744,1552.2428853235772,1423.4670513413469,487.4742579929753,1378.7555331492151,7534.936647596408,7239.724096730497,996.4704024464312,1246.436117495981,21445.54239332623,21930.347778254432,1005.6396827105214,807.5156876106695,699.2488253158897,544.2435096347078,128.77583398223032,8.296113655910622
2019.2422997946608,1526.3721555767024,1399.7427263586032,487.4742551321555,1378.7555723521907,7540.163708762249,7243.613710808185,1017.541973888286,1266.698689198061,19301.739663596814,19739.336139247232,905.075512634742,726.7640837893736,629.3237359223357,489.8186931655386,126.62942921809918,8.29610450868421
2019.2450376454483,1511.3907289657152,1384.331551093414,487.87370886243497,1378.8648280821703,7544.9452627789,7247.097241118463,1027.770292752344,1278.9449784229932,17371.565286231238,17765.401507207764,1227.2513755268835,952.7588552565544,566.3915378142997,440.8368584953221,127.05917787230123,8.406772347958706
2019.2477754962356,1513.8316149588084,1382.0675493378258,488.1693798514815,1378.689472041293,7549.464031503748,7250.314409096658,1020.942867045356,1278.5950682412636,15634.404237688075,15988.834389030955,2205.88029851423,1660.392548757433,555.7275515716657,434.6375579766503,131.7640656209826,8.704010691741823
2019.250513347023,1528.3803417231056,1388.612108400608,484.6141532719438,1376.172658513554,7554.011087888044,7253.484995902534,1005.8302104763007,1271.8246359003456,14070.91819749326,14389.940478475257,3258.5942020140224,2420.0355301792665,565.3701657357079,444.1002583185503,139.76823332249774,9.144859398343357
2019.2532511978095,1537.2471410026578,1390.7664292509314,477.2318657620896,1371.2918959587653,7558.7880831083985,7256.755858704082,999.9966034862462,1271.7081148032637,12663.765416695804,12950.770110385927,3683.271954246251,2719.524425897029,538.8039632372831,424.1854474149811,146.4807117517264,9.52876787633415
2019.2559890485968,1531.562310890803,1382.2516534852364,471.5088389761981,1367.4784763804917,7563.699827867562,7260.053774967964,1006.9206156248304,1281.1662938833515,11397.35494541464,11655.68603237468,3566.498863203868,2625.8127668283328,484.9233316657411,381.78277861635286,149.31065740556664,9.748911705637562
